Dataset,Solver,Modularity,Penalty
KSC,GCSQ,0.8516693857582984,251.27836247050593
KSC,PAM,0.6777406118512855,1379.1316112778868
KSC,KMeans,0.6562453515842318,1515.9053815684001
KSC,Hier,0.6061522393251779,1825.8562390955144
KSC,Spectral,0.6132849122649159,1781.9684559871337
paviaU,GCSQ,0.9756724933702507,12.454317828266994
paviaU,PAM,0.8764048264424981,648.4749641089439
paviaU,KMeans,0.8764048264424981,648.4749641089439
paviaU,Hier,0.8876186896282976,578.0332209819969
paviaU,Spectral,0.8764048264424981,648.4749641089439
salinas,GCSQ,0.7727565982213838,954.4007445510454
salinas,PAM,0.6554334916988915,4354.134078186749
salinas,KMeans,0.6583816603237432,4268.703446112833
salinas,Hier,0.6425986213502008,4726.056863482014
salinas,Spectral,0.6620332498921591,4162.889415573842
indian_pines,GCSQ,0.770749067790313,662.3729375590533
indian_pines,PAM,0.699207017033001,2572.3179022723075
indian_pines,KMeans,0.6873953623063949,2887.4326212519495
indian_pines,Hier,0.6513104214914995,3852.173937315727
indian_pines,Spectral,0.6965803381079271,2641.9976461586493
KSC,DIANA,0.7650081387525989,813.0467805704816
paviaU,DIANA,0.8764048264424981,648.4749641089439
salinas,DIANA,0.6632778043749056,4126.825306073759
indian_pines,DIANA,0.7439550542976129,1375.0363209516292

